open,high,low,close,volume,date
370.89,370.89,370.89,370.89,371.0,2006-05-24 05:45:00
368.89,368.89,368.89,368.89,369.0,2006-05-25 05:45:00
375.64,375.64,375.64,375.64,376.0,2006-05-28 05:45:00
380.2,380.2,380.2,380.2,380.0,2006-05-29 05:45:00
372.64,372.64,372.64,372.64,373.0,2006-05-30 05:45:00
371.74,371.74,371.74,371.74,372.0,2006-05-31 05:45:00
371.97,371.97,371.97,371.97,372.0,2006-06-01 05:45:00
372.06,372.06,372.06,372.06,372.0,2006-06-04 05:45:00
371.47,371.47,371.47,371.47,371.0,2006-06-05 05:45:00
370.77,370.77,370.77,370.77,371.0,2006-06-06 05:45:00
369.62,369.62,369.62,369.62,370.0,2006-06-07 05:45:00
370.84,370.84,370.84,370.84,371.0,2006-06-08 05:45:00
371.62,371.62,371.62,371.62,372.0,2006-06-11 05:45:00
371.72,371.72,371.72,371.72,372.0,2006-06-12 05:45:00
370.79,370.79,370.79,370.79,371.0,2006-06-13 05:45:00
372.01,372.01,372.01,372.01,372.0,2006-06-14 05:45:00
372.21,372.21,372.21,372.21,372.0,2006-06-15 05:45:00
374.05,374.05,374.05,374.05,374.0,2006-06-18 05:45:00
375.49,375.49,375.49,375.49,375.0,2006-06-19 05:45:00
377.04,377.04,377.04,377.04,377.0,2006-06-20 05:45:00
378.68,378.68,378.68,378.68,379.0,2006-06-21 05:45:00
378.87,378.87,378.87,378.87,379.0,2006-06-22 05:45:00
378.45,378.45,378.45,378.45,378.0,2006-06-25 05:45:00
377.55,377.55,377.55,377.55,378.0,2006-06-26 05:45:00
375.47,375.47,375.47,375.47,375.0,2006-06-27 05:45:00
374.74,374.74,374.74,374.74,375.0,2006-06-28 05:45:00
375.14,375.14,375.14,375.14,375.0,2006-06-29 05:45:00
376.77,376.77,376.77,376.77,377.0,2006-07-02 05:45:00
378.66,378.66,378.66,378.66,379.0,2006-07-03 05:45:00
380.43,380.43,380.43,380.43,380.0,2006-07-04 05:45:00
382.04,382.04,382.04,382.04,382.0,2006-07-05 05:45:00
383.85,383.85,383.85,383.85,384.0,2006-07-06 05:45:00
384.6,384.6,384.6,384.6,385.0,2006-07-09 05:45:00
385.31,385.31,385.31,385.31,385.0,2006-07-10 05:45:00
386.63,386.63,386.63,386.63,387.0,2006-07-12 05:45:00
386.45,386.45,386.45,386.45,386.0,2006-07-13 05:45:00
386.83,386.83,386.83,386.83,387.0,2006-07-16 05:45:00
388.16,388.16,388.16,388.16,388.0,2006-07-17 05:45:00
389.74,389.74,389.74,389.74,390.0,2006-07-18 05:45:00
393.68,393.68,393.68,393.68,394.0,2006-07-19 05:45:00
395.89,395.89,395.89,395.89,396.0,2006-07-20 05:45:00
397.95,397.95,397.95,397.95,398.0,2006-07-23 05:45:00
398.21,398.21,398.21,398.21,398.0,2006-07-24 05:45:00
397.35,397.35,397.35,397.35,397.0,2006-07-25 05:45:00
394.86,394.86,394.86,394.86,395.0,2006-07-26 05:45:00
387.34,387.34,387.34,387.34,387.0,2006-07-27 05:45:00
386.5,386.5,386.5,386.5,387.0,2006-07-30 05:45:00
378.76,378.76,378.76,378.76,379.0,2006-07-31 05:45:00
366.73,366.73,366.73,366.73,367.0,2006-08-01 05:45:00
358.69,358.69,358.69,358.69,359.0,2006-08-02 05:45:00
355.6,355.6,355.6,355.6,356.0,2006-08-03 05:45:00
363.56,363.56,363.56,363.56,364.0,2006-08-06 05:45:00
383.14,383.14,383.14,383.14,383.0,2006-08-07 05:45:00
390.86,390.86,390.86,390.86,391.0,2006-08-08 05:45:00
391.73,391.73,391.73,391.73,392.0,2006-08-13 05:45:00
390.29,390.29,390.29,390.29,390.0,2006-08-14 05:45:00
